SA2 name,Latitude,Longitude
Bridgewater - Gagebrook,-42.74233036,147.2689989
Brighton - Pontville,-42.69099724,147.2528323
Old Beach - Otago,-42.8004968,147.2879988
Bellerive - Rosny,-42.87066318,147.3528319
Cambridge,-42.83532999,147.4379982
Geilston Bay - Risdon,-42.83516333,147.3506653
Howrah - Tranmere,-42.92032965,147.4098317
Lindisfarne - Rose Bay,-42.84199663,147.3518319
Mornington - Warrane,-42.85499658,147.4023317
Risdon Vale,-42.8073301,147.3508319
Rokeby,-42.88966311,147.4253316
South Arm,-43.02366657,147.4168317
Austins Ferry - Granton,-42.75983029,147.2393324
Berriedale - Chigwell,-42.80666344,147.2386657
Claremont (Tas.),-42.78716352,147.2526657
Derwent Park - Lutana,-42.83449666,147.2878322
Glenorchy,-42.82649669,147.2721656
Montrose - Rosetta,-42.82349671,147.2553323
Moonah,-42.83916331,147.3011655
New Norfolk,-42.77633023,147.0556664
West Moonah,-42.8418,147.2873
Kingston - Huntingfield,-42.98916271,147.2851655
Kingston Beach - Blackmans Bay,-42.97532943,147.3203321
Margate - Snug,-43.0666664,147.2666656
Mount Wellington,-42.89282976,147.2261658
Taroona - Bonnet Hill,-42.96982945,147.325332
Hobart,-42.8666632,147.3166654
Lenah Valley - Mount Stuart,-42.8593299,147.2756656
Mount Nelson - Dynnyrne,-42.91916299,147.3204987
New Town,-42.85566324,147.3033321
Sandy Bay,-42.901,147.327
South Hobart - Fern Tree,-42.92116298,147.2566656
West Hobart,-42.88349647,147.3089988
Dodges Ferry - Lewisham,-42.85129,147.6227
Sorell - Richmond,-42.77649689,147.5574978
